Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
VXI OPT,Manual,20229,Petrol,KA-04,349000,"Bellahalli, Bengaluru",Bangalore,Maruti,2017,2,6823
VXI,Manual,70067,Petrol,KA-13,368000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,2,7194
VXI P,Manual,60867,Petrol,KA-05,314000,"Bellahalli, Bengaluru",Bangalore,Maruti,2014,1,6139
ALPHA DIESEL 1.3,Manual,84473,Diesel,KA-20,539000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,3,10538
S5,Manual,29793,Diesel,KA-03,1428000,"Bellahalli, Bengaluru",Bangalore,Mahindra,2021,1,27181
SX PLUS 1.6 PETROL,Manual,51166,Petrol,KA-05,801000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2015,2,15246
W4 1.2 PETROL,Manual,13631,Petrol,KA-18,777000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2020,1,15190
W6,Manual,54990,Diesel,KA-03,973000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2015,1,18520
W7,Manual,147557,Diesel,KA-09,1140000,"Bellahalli, Bengaluru",Bangalore,Mahindra,2019,1,21699
SPORTZ 1.2,Manual,43529,Petrol,KA-51,270000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2010,2,5279
W10 AT,Automatic,82825,Diesel,KA-03,1083000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2016,2,20614
S 1.2,Manual,21742,Petrol,KA-05,715000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Hyundai,2020,1,13978
N8 1.0 TURBO GDI IMT,Manual,19902,Petrol,KA-01,1177000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2022,2,22403
XZA PLUS PETROL DUAL TONE,Automatic,19549,Petrol,KA-53,1107000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2020,1,21071
TRENDLINE 1.0L,Manual,43266,Petrol,KA-03,568000,"Sonnappanahalli
",Bangalore,Volkswagen,2019,2,11105
LXI,Manual,57664,Petrol,KA-02,223000,"Bellahalli, Bengaluru",Bangalore,Maruti,2010,1,4360
SPORTZ 1.2 AT,Automatic,38408,Petrol,KA-53,387000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2012,2,7566
VXI,Manual,63411,Petrol,KA-41,584000,"Bellahalli, Bengaluru",Bangalore,Maruti,2016,1,11417
SX (O) 1.5 VTVT IVT,Automatic,8775,Petrol,KA-04,1433000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2021,2,27276
RXT 0.8,Manual,53145,Petrol,KA-02,305000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Renault,2016,2,5963
1.6 VTVT SX (O) AT,Automatic,39968,Petrol,KA-05,997000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2018,2,18977
VXI,Manual,16522,Petrol,KA-52,774000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2022,1,15132
VDI (O),Manual,64337,Diesel,KA-50,654000,"Bellahalli, Bengaluru",Bangalore,Maruti,2016,3,12786
XZ PLUS PETROL,Manual,13789,Petrol,KA-13,686000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Tata,2020,1,13411
1.4 E PETROL,Manual,11375,Petrol,KA-04,806000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2018,1,15341
LXI,Manual,73938,Petrol,KA-04,221000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2012,1,4321
VXI,Manual,39070,Petrol,KA-03,666000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2017,1,13020
ZXI AT,Automatic,53226,Petrol,KA-53,679000,"Sonnappanahalli
",Bangalore,Maruti,2017,1,13275
ZXI PLUS AMT,Automatic,8506,Petrol,KA-09,662000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2018,2,12942
XL PETROL,Manual,34282,Petrol,KA-01,229000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Nissan,2010,1,4477
VXI,Manual,8857,Petrol,KA-19,719000,"GT World Mall, Bengaluru",Bangalore,Maruti,2022,2,14057
VXI,Manual,62538,Petrol,KA-03,806000,"GT World Mall, Bengaluru",Bangalore,Maruti,2017,1,15341
TITANIUM 1.5L PETROL AT,Automatic,41134,Petrol,KA-03,727000,"Sonnappanahalli
",Bangalore,Ford,2017,1,14213
SPORTZ 1.2 KAPPA VTVT,Manual,9414,Petrol,KA-01,670000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2020,1,13099
T(O),Manual,24895,Petrol,KA-05,496000,"Bellahalli, Bengaluru",Bangalore,Datsun,2019,1,9697
VXI,Manual,65484,Petrol,KA-50,318000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2016,3,6217
ZXI D,Manual,41594,Petrol,KA-05,501000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,1,9795
SX 1.2,Manual,25887,Petrol,KA-63,688000,"Sonnappanahalli
",Bangalore,Hyundai,2019,1,13451
RXL MT,Manual,32937,Petrol,KA-19,587000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Renault,2020,2,11476
V MT,Manual,97335,Petrol,KA-22,292000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2012,2,5709
ASTA 1.2 KAPPA VTVT,Manual,70381,Petrol,KA-50,565000,"Sonnappanahalli
",Bangalore,Hyundai,2017,1,11046
SPORTZ 1.2,Manual,104885,Petrol,KA-05,565000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2016,1,11046
VXI AMT (O),Automatic,112268,Petrol,KA-41,347000,"Sonnappanahalli
",Bangalore,Maruti,2015,3,6784
SPORTZ 1.2,Manual,91716,Petrol,KA-53,366000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2013,3,7155
VXI AMT,Automatic,54137,Petrol,KA-05,618000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,1,12082
ASTA 1.2,Manual,73969,Petrol,KA-53,686000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2016,1,13411
1.2L I-VTEC SV,Manual,56814,Petrol,KA-03,538000,"Horamavu Agara Road, Bengaluru",Bangalore,Honda,2016,1,10518
LXI,Manual,52425,Petrol,KA-41,315000,"Sonnappanahalli
",Bangalore,Maruti,2015,1,6158
T8,Manual,84575,Diesel,KA-05,729000,"Bellahalli, Bengaluru",Bangalore,Mahindra,2016,1,14252
VX AT,Automatic,42509,Petrol,KA-05,524000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Honda,2017,2,10244
ASTA 1.4 CRDI,Manual,72131,Diesel,KA-04,705000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2018,1,13783
RXZ AMT,Automatic,7922,Petrol,KA-03,741000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Renault,2020,1,14487
SPORTZ 1.2 KAPPA VTVT,Manual,4032,Petrol,KA-01,515000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2015,2,10068
VDI,Manual,113498,Diesel,KA-19,419000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2013,1,8192
ZETA PETROL 1.2,Manual,60624,Petrol,KA-06,675000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2017,2,13196
XZ+ 1.5,Manual,67271,Diesel,KA-05,826000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2019,1,15722
SPORTZ 1.2 KAPPA VTVT,Manual,40546,Petrol,KA-53,446000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2014,1,8719
HTX 1.5 PETROL,Manual,7265,Petrol,KA-04,1432000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,KIA,2021,1,27257
ALPHA DIESEL 1.5,Manual,122864,Diesel,KA-02,763000,"Bellahalli, Bengaluru",Bangalore,Maruti,2019,2,14917
ZXI,Manual,43946,Petrol,KA-51,674000,"GT World Mall, Bengaluru",Bangalore,Maruti,2016,1,13177
S7,Manual,35182,Diesel,KA-34,1626000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2022,1,30949
ALPHA  AT 1.5 SHVS PETROL,Automatic,17674,Petrol,KA-50,994000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2019,1,18920
MAGNA (O) 1.2,Manual,148625,Petrol,KA-51,304000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2011,2,5943
XZ 2.0L Kryotec,Manual,28315,Diesel,KA-05,1629000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2019,1,31007
VXI AMT,Automatic,99227,Petrol,KA-50,367000,"Bellahalli, Bengaluru",Bangalore,Maruti,2014,1,7175
V,Manual,13898,Petrol,KA-51,817000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Toyota,2021,1,15551
W6 1.5 DIESEL,Manual,29953,Diesel,KA-03,838000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2019,1,15951
ASTA 1.2 (O),Manual,65015,Petrol,KA-40,708000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2018,1,13842
SPORTZ PLUS 1.2,Manual,65944,Petrol,KA-20,625000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2019,2,12219
RXE PETROL,Manual,67363,Petrol,KA-51,522000,"Horamavu Agara Road, Bengaluru",Bangalore,Renault,2015,2,10205
ZXI AMT,Automatic,12364,Petrol,KA-04,612000,"Bellahalli, Bengaluru",Bangalore,Maruti,2021,1,11965
1.5L I-VTEC VX CVT,Automatic,90333,Petrol,KA-03,729000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2015,2,14252
VXI,Manual,53766,Petrol,KA-05,671000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2014,2,13118
XT 2.0L KRYOTEC,Manual,17841,Diesel,KA-51,1635000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2021,1,31121
1.5L I-VTEC ZX CVT,Automatic,62708,Petrol,KA-01,1055000,"Bellahalli, Bengaluru",Bangalore,Honda,2017,1,20081
RXZ AMT,Automatic,42063,Petrol,KA-05,700000,"Sonnappanahalli
",Bangalore,Renault,2020,1,13685
VXI,Manual,48394,Petrol,KA-55,381000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,1,7449
GTK 1.4 PETROL,Manual,36307,Petrol,KA-41,1209000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,KIA,2019,1,23012
SPORTZ 1.2 (O),Manual,26502,Petrol,KA-03,557000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2015,2,10889
W8 1.2 PETROL,Manual,45751,Petrol,KA-27,830000,"GT World Mall, Bengaluru",Bangalore,Mahindra,2020,3,15798
MAGNA 1.1,Manual,29960,Petrol,KA-03,392000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,1,7664
ASTA 1.4 CRDI,Manual,41425,Diesel,KA-03,557000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2014,1,10889
1.2L I-VTEC V,Manual,51569,Petrol,KA-03,594000,"Horamavu Agara Road, Bengaluru",Bangalore,Honda,2018,2,11613
VXI,Manual,92529,Petrol,KA-19,431000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,1,8426
VXI,Manual,30466,Petrol,KA-04,705000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2020,1,13783
XZA PLUS DIESEL,Automatic,39154,Diesel,KA-22,994000,"Bellahalli, Bengaluru",Bangalore,Tata,2019,2,18920
FLUIDIC 4S 1.6 VTVT S,Manual,42094,Petrol,KA-04,642000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,2,12551
N8 1.0 TURBO GDI IMT,Manual,17418,Petrol,KA-01,1134000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2022,2,21585
A,Manual,60297,Petrol,KA-09,259000,"Horamavu Agara Road, Bengaluru",Bangalore,Datsun,2016,2,5063
VDI AMT,Automatic,83991,Diesel,KA-01,658000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2017,1,12864
SPORTZ 1.2,Manual,41802,Petrol,KA-53,327000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2011,1,6393
VXI,Manual,60020,Petrol,KA-05,392000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2011,1,7664
MAGNA 1.2 KAPPA VTVT,Manual,7266,Petrol,KA-16,639000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2021,1,12493
VXI,Manual,26627,Petrol,KA-41,506000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2014,1,9892
FLUIDIC 1.6 VTVT EX,Manual,62799,Petrol,KA-04,442000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2013,3,8641
MAGNA 1.2 KAPPA VTVT,Manual,68810,Petrol,KA-02,392000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2014,2,7664
MAGNA 1.2,Manual,71332,Petrol,KA-04,518000,"Sonnappanahalli
",Bangalore,Hyundai,2015,1,10127
1.8L I-VTEC VX CVT,Automatic,63710,Petrol,KA-52,1574000,"Bellahalli, Bengaluru",Bangalore,Honda,2019,1,29960
ALPHA ALL GRIP PRO AT,Automatic,2013,Petrol,KA-03,1736000,"Sonnappanahalli
",Bangalore,Maruti,2023,1,33043
HIGHLINE DSG 1.5 DIESEL ,Automatic,78752,Diesel,KA-41,564000,"Bellahalli, Bengaluru",Bangalore,Volkswagen,2017,2,11026
G,Manual,13877,Petrol,KA-03,787000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Toyota,2021,1,15386
LXI,Manual,81225,Petrol,KA-04,278000,"Bellahalli, Bengaluru",Bangalore,Maruti,2010,2,5435
SX 1.2 PETROL,Manual,7839,Petrol,KA-01,1118000,"Sonnappanahalli
",Bangalore,Hyundai,2023,1,21280
E PLUS 1.6 PETROL,Manual,20134,Petrol,KA-04,954000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Hyundai,2017,1,18159
ASTA (O) AT 1.2 KAPPA VTVT,Automatic,54659,Petrol,KA-03,479000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2016,2,9365
FLUIDIC 4S 1.6 VTVT SX,Manual,93059,Petrol,KA-03,656000,"Sonnappanahalli
",Bangalore,Hyundai,2016,2,12825
ACTIVE 1.0 TSI,Manual,29184,Petrol,KA-04,799000,"Sonnappanahalli
",Bangalore,Skoda,2020,1,15621
1.2 S,Manual,68672,Petrol,KA-53,577000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,2,11280
1.6 CRDI SX,Manual,114521,Diesel,KA-13,763000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2017,1,14917
1.6 EX CRDI,Manual,76073,Diesel,KA-53,815000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2018,1,15513
ZDI,Manual,80267,Diesel,KA-04,750000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,1,14663
1.2L I-VTEC VX MT,Manual,110630,Petrol,KA-02,725000,"GT World Mall, Bengaluru",Bangalore,Honda,2017,1,14174
CLIMBER 1.0,Manual,37418,Petrol,KA-53,380000,"Sonnappanahalli
",Bangalore,Renault,2018,2,7429
ZXI,Manual,86851,Petrol,KA-03,572000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,2,11183
ASTA (O) 1.0 TURBO GDI DCT,Automatic,14951,Petrol,KA-05,1087000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2021,1,20690
E PLUS 1.6 PETROL,Manual,36540,Petrol,KA-12,890000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Hyundai,2017,1,16940
K8 6 STR,Manual,72057,Petrol,KA-12,418000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Mahindra,2016,1,8172
MAGNA (O) 1.2,Manual,77289,Petrol,KA-05,388000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2013,1,7585
ASTA 1.2 KAPPA VTVT,Manual,26923,Petrol,KA-03,505000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2016,1,9873
SPORTZ 1.1,Manual,31355,Petrol,KA-53,380000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,3,7429
ERA 1.1,Manual,43679,Petrol,KA-51,278000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2010,1,5435
RXZ 1.0 MT,Manual,12233,Petrol,KA-04,775000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Renault,2021,1,15151
SPORTZ 1.2,Manual,96116,Petrol,KA-04,292000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2011,2,5709
ASTA 1.2,Manual,102118,Petrol,KA-02,506000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2015,2,9892
FLUIDIC 4S 1.6 VTVT SX,Manual,64099,Petrol,KA-51,695000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2016,2,13587
ASTA 1.2,Manual,21644,Petrol,KA-05,462000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2013,2,9032
SPORTZ 1.2,Manual,97212,Petrol,KA-19,549000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2017,3,10733
MAGNA +,Manual,30906,Petrol,KA-53,310000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,3,6061
ERA 1.1,Manual,46280,Petrol,KA-02,299000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Hyundai,2013,2,5846
S MT,Manual,29457,Petrol,KA-53,433000,"Bellahalli, Bengaluru",Bangalore,Honda,2016,2,8465
HIGHLINE1.2L PLUS 16 ALLOY,Manual,35791,Petrol,KA-04,628000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Volkswagen,2018,1,12278
1.2L I-VTEC V AT,Automatic,44154,Petrol,KA-03,548000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2016,2,10714
LUXURY PLUS 1.4 PETROL 6 STR,Manual,21173,Petrol,KA-19,1606000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,KIA,2022,1,30569
MAGNA 1.2,Manual,75268,Petrol,KA-20,542000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,1,10596
2.0 SX AT PETROL,Automatic,24185,Petrol,KA-53,1507000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2019,1,28684
SPORTZ 1.2 KAPPA VTVT,Manual,33499,Petrol,KA-04,411000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2015,3,8035
XV CVT,Automatic,46468,Petrol,KA-01,449000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Nissan,2017,3,8778
SX 1.5 PETROL,Manual,52422,Petrol,KA-41,1401000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Hyundai,2020,1,26667
SPORTZ 1.2 AT,Automatic,31474,Petrol,KA-50,382000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Hyundai,2012,1,7468
MAGNA 1.2 MT,Manual,17929,Petrol,KA-05,711000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2021,1,13900
AMBITION 1.0L TSI MT,Manual,7281,Petrol,KA-05,1358000,"Horamavu Agara Road, Bengaluru",Bangalore,Skoda,2022,1,25848
VXI,Manual,88051,Petrol,KA-02,515000,"Bellahalli, Bengaluru",Bangalore,Maruti,2014,1,10068
LXI,Manual,48775,Petrol,KA-05,245000,"GT World Mall, Bengaluru",Bangalore,Maruti,2012,2,4790
DELTA PETROL 1.2,Manual,22438,Petrol,KA-04,733000,"Horamavu Agara Road, Bengaluru",Bangalore,Maruti,2020,1,14330
TITANIUM PLUS 1.2 PETROL,Manual,52626,Petrol,KA-03,555000,"Bellahalli, Bengaluru",Bangalore,Ford,2018,1,10850
J CVT,Automatic,8828,Petrol,KA-51,887000,"Bellahalli, Bengaluru",Bangalore,Toyota,2020,1,16883
MAGNA EXECUTIVE CVT,Automatic,29246,Petrol,KA-53,706000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2018,1,13802
1.5L I-VTEC V MT,Manual,25742,Petrol,KA-01,796000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2018,2,15562
1.2 SX,Manual,32345,Petrol,KA-53,665000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Hyundai,2017,2,13001
SPORTZ 1.2,Manual,73583,Petrol,KA-51,312000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2012,2,6100
MAGNA (O) 1.2,Manual,66085,Petrol,KA-01,398000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2013,1,7781
GTX PLUS DCT 1.4 PETROL,Automatic,24270,Petrol,KA-01,1438000,"Horamavu Agara Road, Bengaluru",Bangalore,KIA,2019,2,27371
W10 AT,Automatic,97053,Diesel,KA-03,1464000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2018,1,27866
RXZ,Manual,11201,Petrol,KA-03,1024000,"Sonnappanahalli
",Bangalore,Renault,2020,1,19491
XZ DIESEL,Manual,58107,Diesel,KA-25,786000,"Bellahalli, Bengaluru",Bangalore,Tata,2020,1,15366
VXI,Manual,82482,Petrol,KA-41,231000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,3,4516
VXI,Manual,24526,Petrol,KA-53,507000,"Bellahalli, Bengaluru",Bangalore,Maruti,2014,2,9912
COMFORTLINE 1.2L,Manual,31293,Petrol,KA-02,527000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Volkswagen,2016,1,10303
LXI,Manual,100100,Petrol,KA-05,231000,"Horamavu Agara Road, Bengaluru",Bangalore,Maruti,2012,1,4516
VXI AMT,Automatic,46009,Petrol,KA-05,623000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,1,12180
VDI,Manual,51745,Diesel,KA-05,543000,"Sonnappanahalli
",Bangalore,Maruti,2015,2,10616
ZXI,Manual,55437,Petrol,KA-03,653000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2016,2,12766
SX 1.0 TURBO,Manual,46640,Petrol,KA-05,930000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Hyundai,2020,2,17702
TREND 1.5 DIESEL,Manual,87777,Diesel,KA-03,563000,"Bellahalli, Bengaluru",Bangalore,Ford,2018,2,11007
ASTA 1.2,Manual,90213,Petrol,KA-05,577000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2016,2,11280
XZ (O) PETROL,Manual,18160,Petrol,KA-53,546000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Tata,2017,1,10674
RXT 0.8,Manual,56637,Petrol,KA-08,346000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Renault,2017,1,6764
MAGNA + AIRBAG,Manual,8187,Petrol,KA-41,352000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,2,6882
RXZ 1.5 PETROL MT,Manual,20600,Petrol,KA-03,963000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Renault,2020,2,18330
ZXI,Manual,48492,Petrol,KA-09,756000,"GT World Mall, Bengaluru",Bangalore,Maruti,2020,1,14780
TITANIUM 1.2 PETROL,Manual,59112,Petrol,KA-03,615000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Ford,2018,1,12023
SX (O) 1.5 CRDI,Manual,65976,Diesel,KA-17,1037000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Hyundai,2020,2,19738
VXI O,Manual,41107,Petrol,KA-07,538000,"Horamavu Agara Road, Bengaluru",Bangalore,Maruti,2016,1,10518
1.2L I-VTEC S MT,Manual,34636,Petrol,KA-01,694000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Honda,2017,1,13568
VXI,Manual,15993,Petrol,KA-04,443000,"Sonnappanahalli
",Bangalore,Maruti,2017,1,8661
DELTA CVT PETROL 1.2,Automatic,63328,Petrol,KA-01,573000,"Bellahalli, Bengaluru",Bangalore,Maruti,2016,1,11202
LXI,Manual,44110,Petrol,KA-04,298000,"Bellahalli, Bengaluru",Bangalore,Maruti,2016,2,5826
1.5L I-VTEC V MT,Manual,49873,Petrol,KA-05,543000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2013,1,10616
VDI,Manual,88808,Diesel,KA-01,613000,"Sonnappanahalli
",Bangalore,Maruti,2013,2,11984
ASTA 1.2 (O),Manual,84407,Petrol,KA-05,610000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2016,2,11926
AMBITION 1.6 MPI MT,Manual,36024,Petrol,KA-03,713000,"Bellahalli, Bengaluru",Bangalore,Skoda,2017,1,13939
1.2L I-VTEC VX,Manual,46099,Petrol,KA-04,537000,"Bellahalli, Bengaluru",Bangalore,Honda,2016,1,10498
TRENDLINE 1.2L,Manual,94548,Petrol,KA-03,423000,"Bellahalli, Bengaluru",Bangalore,Volkswagen,2016,2,8270
MAGNA +,Manual,29940,Petrol,KA-03,308000,"Sonnappanahalli
",Bangalore,Hyundai,2014,1,6021
HIGHLINE1.2L,Manual,59897,Petrol,KA-05,556000,"Sonnappanahalli
",Bangalore,Volkswagen,2017,1,10870
XZ PLUS PETROL,Manual,39682,Petrol,KA-04,598000,"GT World Mall, Bengaluru",Bangalore,Tata,2018,2,11691
SPORTZ 1.2 KAPPA VTVT,Manual,27227,Petrol,KA-04,547000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2019,2,10694
XV TURBO,Manual,13948,Petrol,KA-09,817000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Nissan,2021,1,15551
VXI,Manual,45246,Petrol,KA-03,483000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2014,1,9443
MAGNA 1.1,Manual,42444,Petrol,KA-51,391000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,1,7644
MAGNA 1.2 KAPPA VTVT,Manual,29618,Petrol,KA-05,618000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2020,1,12082
XV PREMIUM,Manual,18809,Petrol,KA-03,844000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Nissan,2022,2,16065
MAGNA 1.1,Manual,35851,Petrol,KA-42,396000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2016,1,7742
ALPHA 1.5 SHVS PETROL,Manual,34761,Petrol,KA-53,778000,"GT World Mall, Bengaluru",Bangalore,Maruti,2018,1,15210
SIGMA 1.2,Manual,35050,Petrol,KA-19,495000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2018,1,9677
VXI,Manual,54848,Petrol,KA-05,395000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2014,1,7722
MAGNA,Manual,29390,Petrol,KA-03,473000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2019,1,9247
V MT PETROL,Manual,49423,Petrol,KA-02,799000,"Bellahalli, Bengaluru",Bangalore,Honda,2018,1,15621
SPORTZ 1.2 KAPPA VTVT,Manual,38783,Petrol,KA-03,443000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2014,1,8661
VXI,Manual,89919,Petrol,KA-04,307000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2018,1,6002
XZ PETROL,Manual,38272,Petrol,KA-51,498000,"Bellahalli, Bengaluru",Bangalore,Tata,2018,2,9736
