Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
S MT,Manual,66434,Petrol,KA-05,342000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2012,2,6686
MAGNA (O) 1.2,Manual,79987,Petrol,KA-04,337000,"Sonnappanahalli
",Bangalore,Hyundai,2010,1,6588
VXI,Manual,69120,Petrol,KA-04,276000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2010,2,5396
VXI,Manual,69748,Petrol,KA-09,429000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,2,8387
VXI AMT,Automatic,42162,Petrol,KA-03,663000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,2,12962
VXI,Manual,35562,Petrol,KA-53,650000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,1,12708
ZXI,Manual,65961,Petrol,KA-32,372000,"Bellahalli, Bengaluru",Bangalore,Maruti,2011,3,7273
VXI+,Manual,45872,Petrol,KA-16,494000,"Bellahalli, Bengaluru",Bangalore,Maruti,2022,1,9658
VDI ABS,Manual,84877,Diesel,KA-01,628000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,1,12278
ASTA (O) 1.5 CRDI MT,Manual,58286,Diesel,KA-46,1125000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2021,1,21413
VXI (O),Manual,32278,Petrol,KA-51,373000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2018,1,7292
ZDI AMT,Automatic,88411,Diesel,KA-02,691000,"Bellahalli, Bengaluru",Bangalore,Maruti,2017,1,13509
LXI,Manual,72984,Petrol,KA-53,429000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,1,8387
W10,Manual,97110,Diesel,KA-03,1208000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2016,2,22993
RXT 1.0,Manual,43199,Petrol,KA-06,392000,"Bellahalli, Bengaluru",Bangalore,Renault,2017,1,7664
LXI,Manual,71218,Petrol,KA-05,265000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2014,1,5181
VDI,Manual,97871,Diesel,KA-02,441000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,2,8622
HIGHLINE DIESEL 1.6,Manual,137114,Diesel,KA-06,354000,"Bellahalli, Bengaluru",Bangalore,Volkswagen,2012,3,6921
A,Manual,64500,Petrol,KA-10,245000,"Bellahalli, Bengaluru",Bangalore,Datsun,2018,1,4790
TITANIUM 1.5L PETROL AT,Automatic,39378,Petrol,KA-03,783000,"Bellahalli, Bengaluru",Bangalore,Ford,2016,1,15308
VXI,Manual,65881,Petrol,KA-53,451000,"Bellahalli, Bengaluru",Bangalore,Maruti,2013,2,8817
ASTA 1.2,Manual,40344,Petrol,KA-03,479000,"Sonnappanahalli
",Bangalore,Hyundai,2013,1,9365
T(O) 1.0 AMT,Automatic,4512,Petrol,KA-01,521000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Datsun,2020,1,10186
XZA 2.0L,Automatic,47389,Diesel,KA-51,1636000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2020,1,31140
VXI PLUS,Manual,16679,Petrol,KA-05,433000,"Horamavu Agara Road, Bengaluru",Bangalore,Maruti,2021,1,8465
VXI AMT,Automatic,17432,Petrol,KA-53,442000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2014,1,8641
GTK 1.4 PETROL,Manual,91486,Petrol,KA-04,1148000,"Sonnappanahalli
",Bangalore,KIA,2019,1,21851
XZ PLUS PETROL,Manual,40415,Petrol,KA-02,633000,"Bellahalli, Bengaluru",Bangalore,Tata,2018,1,12375
SPORTZ AMT 1.2 KAPPA VTVT,Automatic,32093,Petrol,KA-03,716000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Hyundai,2020,1,13998
ZXI,Manual,86046,Petrol,KA-05,668000,"Horamavu Agara Road, Bengaluru",Bangalore,Maruti,2015,1,13060
